"","LongName","artists","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","name","x","y"
"1","God's Plan","Drake",0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4,"God's Plan",-6.37453630950217,-4.71241048225327
"2","SAD!","XXXTENTACION",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4,"SAD!",-1.81832618570733,0.962964774909137
"3","rockstar (feat. 21 Savage)","Post Malone",0.587,0.535,5,-6.09,0,0.0898,0.117,6.56e-05,0.131,0.14,159.847,218147,4,"rockstar",5.53223063227449,-7.17252945973529
"4","Psycho (feat. Ty Dolla $ign)","Post Malone",0.739,0.559,8,-8.011,1,0.117,0.58,0,0.112,0.439,140.124,221440,4,"Psycho",-8.46504725021504,-0.616455543759642
"5","In My Feelings","Drake",0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,4,"In My Feelings",-3.77238684687897,3.31808799565911
"6","Better Now","Post Malone",0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,231267,4,"Better Now",-7.49260477746731,-1.04665015920204
"7","I Like It","Cardi B",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,4,"I Like It",8.08640349433901,-5.00550366736823
"8","One Kiss (with Dua Lipa)","Calvin Harris",0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4,"One Kiss",6.34230133645586,-1.90872420925408
"9","IDGAF","Dua Lipa",0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,217947,4,"IDGAF",-2.10484678503919,-2.27521609749658
"10","FRIENDS","Marshmello",0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,202621,4,"FRIENDS",6.96259380316168,-1.39797907939243
"11","Havana","Camila Cabello",0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4,"Havana",-5.31807769584596,2.9932421597056
"12","Lucid Dreams","Juice WRLD",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4,"Lucid Dreams",4.81321598332272,5.95381611598813
"13","Nice For What","Drake",0.586,0.909,8,-6.474,1,0.0705,0.0891,0.000109,0.119,0.757,93.394,210747,4,"Nice For What",-3.29265508858789,-0.816964403662256
"14","Girls Like You (feat. Cardi B)","Maroon 5",0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,235545,4,"Girls Like You",-6.49370021828911,3.93319739692643
"15","The Middle","Zedd",0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,4,"The Middle",-1.9599381917571,0.353945397804986
