,LongName,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,valence_bucket,x,y,name_shorten
1,God's Plan,Drake,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29E-05,0.552,0.357,77.169,198973,4,God's Plan,2,-6.37453631,-4.712410482,God's Plan
2,SAD!,XXXTENTACION,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4,SAD!,3,-1.818326186,0.962964775,SAD!
3,rockstar (feat. 21 Savage),Post Malone,0.587,0.535,5,-6.09,0,0.0898,0.117,6.56E-05,0.131,0.14,159.847,218147,4,rockstar,1,5.532230632,-7.17252946,rockstar
4,Psycho (feat. Ty Dolla $ign),Post Malone,0.739,0.559,8,-8.011,1,0.117,0.58,0,0.112,0.439,140.124,221440,4,Psycho,3,-8.46504725,-0.616455544,Psycho
5,In My Feelings,Drake,0.835,0.626,1,-5.833,1,0.125,0.0589,6.00E-05,0.396,0.35,91.03,217925,4,In My Feelings,2,-3.772386847,3.318087996,In My Feelings
6,Better Now,Post Malone,0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,231267,4,Better Now,2,-7.492604777,-1.046650159,Better Now
7,I Like It,Cardi B,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,4,I Like It,4,8.086403494,-5.005503667,I Like It
8,One Kiss (with Dua Lipa),Calvin Harris,0.791,0.862,9,-3.24,0,0.11,0.037,2.19E-05,0.0814,0.592,123.994,214847,4,One Kiss,3,6.342301336,-1.908724209,One Kiss
9,IDGAF,Dua Lipa,0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,217947,4,IDGAF,3,-2.104846785,-2.275216097,IDGAF
10,FRIENDS,Marshmello,0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,202621,4,FRIENDS,3,6.962593803,-1.397979079,FRIENDS
11,Havana,Camila Cabello,0.765,0.523,2,-4.333,1,0.03,0.184,3.56E-05,0.132,0.394,104.988,217307,4,Havana,2,-5.318077696,2.99324216,Havana
12,Lucid Dreams,Juice WRLD,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4,Lucid Dreams,2,4.813215983,5.953816116,Lucid Dreams
13,Nice For What,Drake,0.586,0.909,8,-6.474,1,0.0705,0.0891,0.000109,0.119,0.757,93.394,210747,4,Nice For What,4,-3.292655089,-0.816964404,Nice For What
14,Girls Like You (feat. Cardi B),Maroon 5,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,235545,4,Girls Like You,3,-6.493700218,3.933197397,Girls Like You
15,The Middle,Zedd,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,4,The Middle,3,-1.959938192,0.353945398,The Middle
16,All The Stars (with SZA),Kendrick Lamar,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,4,All The Stars,3,-2.486207241,-1.628076837,All The Stars
